Period,Energy Type,Use,Unit
2016,wind,9421.204,thousand megawatthours
2017,wind,9314.66295,thousand megawatthours
2018,wind,9745.15,thousand megawatthours
2019,wind,10852.37576,thousand megawatthours
2020,wind,13386.228,thousand megawatthours
2021,wind,15125.697,thousand megawatthours
