Fuel Type,Energy Generation,Energy Units,Location,Period
estimated total solar,200.59746,thousand megawatthours,CO,2019-07
estimated total solar photovoltaic,200.59746,thousand megawatthours,CO,2019-07
solar,134.44979,thousand megawatthours,CO,2019-07
solar photovoltaic,134.44979,thousand megawatthours,CO,2019-07
renewable,1241.66483,thousand megawatthours,CO,2019-07
estimated small scale solar photovoltaic,66.14767,thousand megawatthours,CO,2019-07
biomass,12.362,thousand megawatthours,CO,2019-06
wood and wood wastes,6.537,thousand megawatthours,CO,2019-06
onshore wind turbine,780.59389,thousand megawatthours,CO,2019-06
wind,780.59389,thousand megawatthours,CO,2019-06
renewable waste products,5.825,thousand megawatthours,CO,2019-06
estimated total solar,203.86483,thousand megawatthours,CO,2019-06
estimated total solar photovoltaic,203.86483,thousand megawatthours,CO,2019-06
solar,138.46085,thousand megawatthours,CO,2019-06
solar photovoltaic,138.46085,thousand megawatthours,CO,2019-06
renewable,1110.80168,thousand megawatthours,CO,2019-06
estimated small scale solar photovoltaic,65.40398,thousand megawatthours,CO,2019-06
biomass,12.41913,thousand megawatthours,CO,2019-05
wood and wood wastes,6.132,thousand megawatthours,CO,2019-05
onshore wind turbine,866.56113,thousand megawatthours,CO,2019-05
wind,866.56113,thousand megawatthours,CO,2019-05
renewable waste products,6.28713,thousand megawatthours,CO,2019-05
estimated total solar,186.25784,thousand megawatthours,CO,2019-05
estimated total solar photovoltaic,186.25784,thousand megawatthours,CO,2019-05
solar,123.15089,thousand megawatthours,CO,2019-05
solar photovoltaic,123.15089,thousand megawatthours,CO,2019-05
renewable,1178.93587,thousand megawatthours,CO,2019-05
estimated small scale solar photovoltaic,63.10695,thousand megawatthours,CO,2019-05
wind,1014.36521,thousand megawatthours,CO,2019-04
renewable waste products,5.54376,thousand megawatthours,CO,2019-04
estimated total solar,172.86158,thousand megawatthours,CO,2019-04
estimated total solar photovoltaic,172.86158,thousand megawatthours,CO,2019-04
solar,114.58639,thousand megawatthours,CO,2019-04
solar photovoltaic,114.58639,thousand megawatthours,CO,2019-04
renewable,1309.25453,thousand megawatthours,CO,2019-04
estimated small scale solar photovoltaic,58.27519,thousand megawatthours,CO,2019-04
biomass,12.80676,thousand megawatthours,CO,2019-04
wood and wood wastes,7.263,thousand megawatthours,CO,2019-04
onshore wind turbine,1014.36521,thousand megawatthours,CO,2019-04
renewable,1179.28012,thousand megawatthours,CO,2019-03
estimated small scale solar photovoltaic,54.10679,thousand megawatthours,CO,2019-03
biomass,13.95373,thousand megawatthours,CO,2019-03
wood and wood wastes,7.5,thousand megawatthours,CO,2019-03
onshore wind turbine,923.9345,thousand megawatthours,CO,2019-03
wind,923.9345,thousand megawatthours,CO,2019-03
renewable waste products,6.45373,thousand megawatthours,CO,2019-03
estimated total solar,151.93427,thousand megawatthours,CO,2019-03
estimated total solar photovoltaic,151.93427,thousand megawatthours,CO,2019-03
solar,97.82748,thousand megawatthours,CO,2019-03
solar photovoltaic,97.82748,thousand megawatthours,CO,2019-03
renewable,1064.09921,thousand megawatthours,CO,2019-02
estimated small scale solar photovoltaic,39.17743,thousand megawatthours,CO,2019-02
biomass,12.21952,thousand megawatthours,CO,2019-02
wood and wood wastes,6.167,thousand megawatthours,CO,2019-02
onshore wind turbine,847.60879,thousand megawatthours,CO,2019-02
wind,847.60879,thousand megawatthours,CO,2019-02
renewable waste products,6.05252,thousand megawatthours,CO,2019-02
estimated total solar,105.88542,thousand megawatthours,CO,2019-02
estimated total solar photovoltaic,105.88542,thousand megawatthours,CO,2019-02
solar,66.70799,thousand megawatthours,CO,2019-02
solar photovoltaic,66.70799,thousand megawatthours,CO,2019-02
estimated small scale solar photovoltaic,38.04794,thousand megawatthours,CO,2019-01
wood and wood wastes,6.973,thousand megawatthours,CO,2019-01
onshore wind turbine,941.55953,thousand megawatthours,CO,2019-01
wind,941.55953,thousand megawatthours,CO,2019-01
renewable waste products,6.49374,thousand megawatthours,CO,2019-01
estimated total solar,99.66516,thousand megawatthours,CO,2019-01
estimated total solar photovoltaic,99.66516,thousand megawatthours,CO,2019-01
solar,61.61722,thousand megawatthours,CO,2019-01
solar photovoltaic,61.61722,thousand megawatthours,CO,2019-01
renewable,1150.50629,thousand megawatthours,CO,2019-01
biomass,13.46674,thousand megawatthours,CO,2019-01
biomass,14.60068,thousand megawatthours,CO,2018-12
wood and wood wastes,7.872,thousand megawatthours,CO,2018-12
onshore wind turbine,1045.8356,thousand megawatthours,CO,2018-12
wind,1045.8356,thousand megawatthours,CO,2018-12
renewable waste products,6.72868,thousand megawatthours,CO,2018-12
estimated total solar,86.93396,thousand megawatthours,CO,2018-12
estimated total solar photovoltaic,86.93396,thousand megawatthours,CO,2018-12
solar,50.0471,thousand megawatthours,CO,2018-12
solar photovoltaic,50.0471,thousand megawatthours,CO,2018-12
renewable,1225.18509,thousand megawatthours,CO,2018-12
estimated small scale solar photovoltaic,36.88686,thousand megawatthours,CO,2018-12
biomass,13.97209,thousand megawatthours,CO,2018-11
estimated total solar photovoltaic,103.92103,thousand megawatthours,CO,2018-11
solar,64.62147,thousand megawatthours,CO,2018-11
solar photovoltaic,64.62147,thousand megawatthours,CO,2018-11
renewable,941.86914,thousand megawatthours,CO,2018-11
estimated small scale solar photovoltaic,39.29956,thousand megawatthours,CO,2018-11
wood and wood wastes,7.947,thousand megawatthours,CO,2018-11
onshore wind turbine,756.26849,thousand megawatthours,CO,2018-11
wind,756.26849,thousand megawatthours,CO,2018-11
renewable waste products,6.02509,thousand megawatthours,CO,2018-11
estimated total solar,103.92103,thousand megawatthours,CO,2018-11
estimated small scale solar photovoltaic,45.91608,thousand megawatthours,CO,2018-10
wood and wood wastes,6.714,thousand megawatthours,CO,2018-10
onshore wind turbine,721.33602,thousand megawatthours,CO,2018-10
wind,721.33602,thousand megawatthours,CO,2018-10
renewable waste products,6.58711,thousand megawatthours,CO,2018-10
estimated total solar,123.60557,thousand megawatthours,CO,2018-10
estimated total solar photovoltaic,123.60557,thousand megawatthours,CO,2018-10
solar,77.68949,thousand megawatthours,CO,2018-10
solar photovoltaic,77.68949,thousand megawatthours,CO,2018-10
biomass,13.30111,thousand megawatthours,CO,2018-10
renewable,941.50649,thousand megawatthours,CO,2018-10
estimated total solar,157.61221,thousand megawatthours,CO,2018-09
estimated small scale solar photovoltaic,52.84047,thousand megawatthours,CO,2018-09
biomass,14.15759,thousand megawatthours,CO,2018-09
estimated total solar photovoltaic,157.61221,thousand megawatthours,CO,2018-09
solar,104.77174,thousand megawatthours,CO,2018-09
solar photovoltaic,104.77174,thousand megawatthours,CO,2018-09
renewable,946.4135,thousand megawatthours,CO,2018-09
wood and wood wastes,8.497,thousand megawatthours,CO,2018-09
onshore wind turbine,699.40846,thousand megawatthours,CO,2018-09
wind,699.40846,thousand megawatthours,CO,2018-09
renewable waste products,5.66059,thousand megawatthours,CO,2018-09
renewable,1006.88486,thousand megawatthours,CO,2018-08
estimated small scale solar photovoltaic,56.44668,thousand megawatthours,CO,2018-08
biomass,14.79968,thousand megawatthours,CO,2018-08
wood and wood wastes,8.544,thousand megawatthours,CO,2018-08
onshore wind turbine,716.44658,thousand megawatthours,CO,2018-08
wind,716.44658,thousand megawatthours,CO,2018-08
renewable waste products,6.25568,thousand megawatthours,CO,2018-08
estimated total solar,165.91259,thousand megawatthours,CO,2018-08
estimated total solar photovoltaic,165.91259,thousand megawatthours,CO,2018-08
solar,109.46591,thousand megawatthours,CO,2018-08
solar photovoltaic,109.46591,thousand megawatthours,CO,2018-08
biomass,13.62765,thousand megawatthours,CO,2018-07
wood and wood wastes,7.289,thousand megawatthours,CO,2018-07
onshore wind turbine,738.79881,thousand megawatthours,CO,2018-07
wind,738.79881,thousand megawatthours,CO,2018-07
renewable waste products,6.33865,thousand megawatthours,CO,2018-07
estimated total solar,169.21655,thousand megawatthours,CO,2018-07
estimated total solar photovoltaic,169.21655,thousand megawatthours,CO,2018-07
solar,109.28134,thousand megawatthours,CO,2018-07
solar photovoltaic,109.28134,thousand megawatthours,CO,2018-07
renewable,1028.42569,thousand megawatthours,CO,2018-07
estimated small scale solar photovoltaic,59.93521,thousand megawatthours,CO,2018-07
biomass,13.8886,thousand megawatthours,CO,2018-06
wood and wood wastes,7.813,thousand megawatthours,CO,2018-06
onshore wind turbine,797.58376,thousand megawatthours,CO,2018-06
wind,797.58376,thousand megawatthours,CO,2018-06
renewable waste products,6.0756,thousand megawatthours,CO,2018-06
estimated total solar,185.18841,thousand megawatthours,CO,2018-06
estimated total solar photovoltaic,185.18841,thousand megawatthours,CO,2018-06
solar,124.93713,thousand megawatthours,CO,2018-06
solar photovoltaic,124.93713,thousand megawatthours,CO,2018-06
renewable,1116.80415,thousand megawatthours,CO,2018-06
estimated small scale solar photovoltaic,60.25128,thousand megawatthours,CO,2018-06
biomass,14.4357,thousand megawatthours,CO,2018-05
wood and wood wastes,7.938,thousand megawatthours,CO,2018-05
onshore wind turbine,696.82357,thousand megawatthours,CO,2018-05
wind,696.82357,thousand megawatthours,CO,2018-05
renewable waste products,6.4977,thousand megawatthours,CO,2018-05
estimated total solar,175.15293,thousand megawatthours,CO,2018-05
estimated total solar photovoltaic,175.15293,thousand megawatthours,CO,2018-05
solar,116.22061,thousand megawatthours,CO,2018-05
solar photovoltaic,116.22061,thousand megawatthours,CO,2018-05
renewable,1015.46104,thousand megawatthours,CO,2018-05
estimated small scale solar photovoltaic,58.93232,thousand megawatthours,CO,2018-05
renewable,1279.36328,thousand megawatthours,CO,2018-04
estimated small scale solar photovoltaic,55.19666,thousand megawatthours,CO,2018-04
biomass,14.27516,thousand megawatthours,CO,2018-04
wood and wood wastes,7.782,thousand megawatthours,CO,2018-04
onshore wind turbine,986.13819,thousand megawatthours,CO,2018-04
wind,986.13819,thousand megawatthours,CO,2018-04
renewable waste products,6.49316,thousand megawatthours,CO,2018-04
estimated total solar,155.91132,thousand megawatthours,CO,2018-04
estimated total solar photovoltaic,155.91132,thousand megawatthours,CO,2018-04
solar,100.71466,thousand megawatthours,CO,2018-04
solar photovoltaic,100.71466,thousand megawatthours,CO,2018-04
estimated small scale solar photovoltaic,52.43105,thousand megawatthours,CO,2018-03
biomass,11.99429,thousand megawatthours,CO,2018-03
wood and wood wastes,5.331,thousand megawatthours,CO,2018-03
onshore wind turbine,1004.87497,thousand megawatthours,CO,2018-03
wind,1004.87497,thousand megawatthours,CO,2018-03
renewable waste products,6.66329,thousand megawatthours,CO,2018-03
estimated total solar,137.08329,thousand megawatthours,CO,2018-03
estimated total solar photovoltaic,137.08329,thousand megawatthours,CO,2018-03
solar,84.65224,thousand megawatthours,CO,2018-03
solar photovoltaic,84.65224,thousand megawatthours,CO,2018-03
renewable,1277.79264,thousand megawatthours,CO,2018-03
biomass,12.3645,thousand megawatthours,CO,2018-02
wood and wood wastes,6.227,thousand megawatthours,CO,2018-02
onshore wind turbine,724.49896,thousand megawatthours,CO,2018-02
wind,724.49896,thousand megawatthours,CO,2018-02
renewable waste products,6.1375,thousand megawatthours,CO,2018-02
estimated total solar,101.4988,thousand megawatthours,CO,2018-02
estimated total solar photovoltaic,101.4988,thousand megawatthours,CO,2018-02
solar,64.95156,thousand megawatthours,CO,2018-02
solar photovoltaic,64.95156,thousand megawatthours,CO,2018-02
renewable,955.26463,thousand megawatthours,CO,2018-02
estimated small scale solar photovoltaic,36.54724,thousand megawatthours,CO,2018-02
estimated small scale solar photovoltaic,35.47633,thousand megawatthours,CO,2018-01
biomass,13.0103,thousand megawatthours,CO,2018-01
renewable,1062.37205,thousand megawatthours,CO,2018-01
onshore wind turbine,857.1366,thousand megawatthours,CO,2018-01
wind,857.1366,thousand megawatthours,CO,2018-01
renewable waste products,6.3253,thousand megawatthours,CO,2018-01
estimated total solar,90.50332,thousand megawatthours,CO,2018-01
estimated total solar photovoltaic,90.50332,thousand megawatthours,CO,2018-01
solar,55.02699,thousand megawatthours,CO,2018-01
solar photovoltaic,55.02699,thousand megawatthours,CO,2018-01
wood and wood wastes,6.685,thousand megawatthours,CO,2018-01
biomass,14.06468,thousand megawatthours,CO,2017-12
wood and wood wastes,7.832,thousand megawatthours,CO,2017-12
onshore wind turbine,962.88761,thousand megawatthours,CO,2017-12
wind,962.88761,thousand megawatthours,CO,2017-12
renewable waste products,6.23268,thousand megawatthours,CO,2017-12
estimated total solar,84.94753,thousand megawatthours,CO,2017-12
estimated total solar photovoltaic,84.94753,thousand megawatthours,CO,2017-12
solar,52.03398,thousand megawatthours,CO,2017-12
solar photovoltaic,52.03398,thousand megawatthours,CO,2017-12
renewable,1166.6341,thousand megawatthours,CO,2017-12
estimated small scale solar photovoltaic,32.91355,thousand megawatthours,CO,2017-12
biomass,13.72964,thousand megawatthours,CO,2017-11
wood and wood wastes,7.555,thousand megawatthours,CO,2017-11
onshore wind turbine,837.26395,thousand megawatthours,CO,2017-11
wind,837.26395,thousand megawatthours,CO,2017-11
renewable waste products,6.17464,thousand megawatthours,CO,2017-11
estimated total solar,91.20837,thousand megawatthours,CO,2017-11
estimated total solar photovoltaic,91.20837,thousand megawatthours,CO,2017-11
solar,55.18356,thousand megawatthours,CO,2017-11
solar photovoltaic,55.18356,thousand megawatthours,CO,2017-11
renewable,1036.73147,thousand megawatthours,CO,2017-11
estimated small scale solar photovoltaic,36.02481,thousand megawatthours,CO,2017-11
solar,84.16632,thousand megawatthours,CO,2017-10
solar photovoltaic,84.16632,thousand megawatthours,CO,2017-10
renewable,1137.52688,thousand megawatthours,CO,2017-10
estimated small scale solar photovoltaic,43.61203,thousand megawatthours,CO,2017-10
biomass,12.27314,thousand megawatthours,CO,2017-10
wood and wood wastes,6.462,thousand megawatthours,CO,2017-10
onshore wind turbine,920.58991,thousand megawatthours,CO,2017-10
wind,920.58991,thousand megawatthours,CO,2017-10
renewable waste products,5.81114,thousand megawatthours,CO,2017-10
estimated total solar,127.77835,thousand megawatthours,CO,2017-10
estimated total solar photovoltaic,127.77835,thousand megawatthours,CO,2017-10
biomass,13.38606,thousand megawatthours,CO,2017-09
wood and wood wastes,7.972,thousand megawatthours,CO,2017-09
onshore wind turbine,576.84052,thousand megawatthours,CO,2017-09
wind,576.84052,thousand megawatthours,CO,2017-09
renewable waste products,5.41406,thousand megawatthours,CO,2017-09
estimated total solar,134.0863,thousand megawatthours,CO,2017-09
estimated total solar photovoltaic,134.0863,thousand megawatthours,CO,2017-09
solar,86.97813,thousand megawatthours,CO,2017-09
solar photovoltaic,86.97813,thousand megawatthours,CO,2017-09
renewable,804.91495,thousand megawatthours,CO,2017-09
estimated small scale solar photovoltaic,47.10817,thousand megawatthours,CO,2017-09
biomass,13.61217,thousand megawatthours,CO,2017-08
wood and wood wastes,8.095,thousand megawatthours,CO,2017-08
onshore wind turbine,617.61319,thousand megawatthours,CO,2017-08
wind,617.61319,thousand megawatthours,CO,2017-08
renewable waste products,5.51717,thousand megawatthours,CO,2017-08
estimated total solar,143.32244,thousand megawatthours,CO,2017-08
estimated total solar photovoltaic,143.32244,thousand megawatthours,CO,2017-08
solar,91.53294,thousand megawatthours,CO,2017-08
solar photovoltaic,91.53294,thousand megawatthours,CO,2017-08
renewable,885.16905,thousand megawatthours,CO,2017-08
estimated small scale solar photovoltaic,51.7895,thousand megawatthours,CO,2017-08
biomass,15.07171,thousand megawatthours,CO,2017-07
wood and wood wastes,8.497,thousand megawatthours,CO,2017-07
onshore wind turbine,501.1958,thousand megawatthours,CO,2017-07
wind,501.1958,thousand megawatthours,CO,2017-07
renewable waste products,6.57471,thousand megawatthours,CO,2017-07
estimated total solar,138.27492,thousand megawatthours,CO,2017-07
estimated total solar photovoltaic,138.27492,thousand megawatthours,CO,2017-07
solar,84.36863,thousand megawatthours,CO,2017-07
solar photovoltaic,84.36863,thousand megawatthours,CO,2017-07
renewable,797.78637,thousand megawatthours,CO,2017-07
estimated small scale solar photovoltaic,53.90629,thousand megawatthours,CO,2017-07
renewable,946.122,thousand megawatthours,CO,2017-06
estimated small scale solar photovoltaic,54.99764,thousand megawatthours,CO,2017-06
biomass,13.05706,thousand megawatthours,CO,2017-06
wood and wood wastes,6.56,thousand megawatthours,CO,2017-06
onshore wind turbine,627.74826,thousand megawatthours,CO,2017-06
wind,627.74826,thousand megawatthours,CO,2017-06
renewable waste products,6.49706,thousand megawatthours,CO,2017-06
estimated total solar,169.2173,thousand megawatthours,CO,2017-06
estimated total solar photovoltaic,169.2173,thousand megawatthours,CO,2017-06
solar,114.21966,thousand megawatthours,CO,2017-06
solar photovoltaic,114.21966,thousand megawatthours,CO,2017-06
estimated total solar,158.56416,thousand megawatthours,CO,2017-05
wood and wood wastes,7.571,thousand megawatthours,CO,2017-05
onshore wind turbine,849.77007,thousand megawatthours,CO,2017-05
wind,849.77007,thousand megawatthours,CO,2017-05
biomass,14.08849,thousand megawatthours,CO,2017-05
estimated total solar photovoltaic,158.56416,thousand megawatthours,CO,2017-05
solar,104.83718,thousand megawatthours,CO,2017-05
solar photovoltaic,104.83718,thousand megawatthours,CO,2017-05
renewable,1147.23506,thousand megawatthours,CO,2017-05
estimated small scale solar photovoltaic,53.72698,thousand megawatthours,CO,2017-05
renewable waste products,6.51749,thousand megawatthours,CO,2017-05
biomass,14.35797,thousand megawatthours,CO,2017-04
wood and wood wastes,8.04,thousand megawatthours,CO,2017-04
onshore wind turbine,906.60081,thousand megawatthours,CO,2017-04
wind,906.60081,thousand megawatthours,CO,2017-04
renewable waste products,6.31797,thousand megawatthours,CO,2017-04
estimated total solar,145.57091,thousand megawatthours,CO,2017-04
estimated total solar photovoltaic,145.57091,thousand megawatthours,CO,2017-04
solar,96.69009,thousand megawatthours,CO,2017-04
solar photovoltaic,96.69009,thousand megawatthours,CO,2017-04
renewable,1194.48209,thousand megawatthours,CO,2017-04
estimated small scale solar photovoltaic,48.88082,thousand megawatthours,CO,2017-04
biomass,15.43605,thousand megawatthours,CO,2017-03
wood and wood wastes,8.652,thousand megawatthours,CO,2017-03
onshore wind turbine,875.3912,thousand megawatthours,CO,2017-03
wind,875.3912,thousand megawatthours,CO,2017-03
renewable waste products,6.78405,thousand megawatthours,CO,2017-03
estimated total solar,132.09521,thousand megawatthours,CO,2017-03
estimated total solar photovoltaic,132.09521,thousand megawatthours,CO,2017-03
solar,87.59558,thousand megawatthours,CO,2017-03
solar photovoltaic,87.59558,thousand megawatthours,CO,2017-03
renewable,1155.69234,thousand megawatthours,CO,2017-03
estimated small scale solar photovoltaic,44.49963,thousand megawatthours,CO,2017-03
biomass,13.36614,thousand megawatthours,CO,2017-02
wood and wood wastes,7.031,thousand megawatthours,CO,2017-02
onshore wind turbine,803.90698,thousand megawatthours,CO,2017-02
wind,803.90698,thousand megawatthours,CO,2017-02
renewable waste products,6.33514,thousand megawatthours,CO,2017-02
estimated total solar,84.78408,thousand megawatthours,CO,2017-02
estimated total solar photovoltaic,84.78408,thousand megawatthours,CO,2017-02
solar,51.8961,thousand megawatthours,CO,2017-02
solar photovoltaic,51.8961,thousand megawatthours,CO,2017-02
renewable,1007.48957,thousand megawatthours,CO,2017-02
estimated small scale solar photovoltaic,32.88798,thousand megawatthours,CO,2017-02
biomass,13.40322,thousand megawatthours,CO,2017-01
wood and wood wastes,6.727,thousand megawatthours,CO,2017-01
onshore wind turbine,834.85466,thousand megawatthours,CO,2017-01
wind,834.85466,thousand megawatthours,CO,2017-01
renewable waste products,6.67622,thousand megawatthours,CO,2017-01
estimated total solar,75.28325,thousand megawatthours,CO,2017-01
estimated total solar photovoltaic,75.28325,thousand megawatthours,CO,2017-01
solar,44.99557,thousand megawatthours,CO,2017-01
solar photovoltaic,44.99557,thousand megawatthours,CO,2017-01
renewable,1052.45112,thousand megawatthours,CO,2017-01
estimated small scale solar photovoltaic,30.28768,thousand megawatthours,CO,2017-01
biomass,15.5456,thousand megawatthours,CO,2016-12
wood and wood wastes,8.822,thousand megawatthours,CO,2016-12
onshore wind turbine,873.55291,thousand megawatthours,CO,2016-12
wind,873.55291,thousand megawatthours,CO,2016-12
renewable waste products,6.7236,thousand megawatthours,CO,2016-12
estimated total solar,79.98091,thousand megawatthours,CO,2016-12
estimated total solar photovoltaic,79.98091,thousand megawatthours,CO,2016-12
solar,51.79955,thousand megawatthours,CO,2016-12
solar photovoltaic,51.79955,thousand megawatthours,CO,2016-12
renewable,1084.92436,thousand megawatthours,CO,2016-12
estimated small scale solar photovoltaic,28.18136,thousand megawatthours,CO,2016-12
biomass,15.06043,thousand megawatthours,CO,2016-11
wood and wood wastes,8.643,thousand megawatthours,CO,2016-11
onshore wind turbine,928.66792,thousand megawatthours,CO,2016-11
wind,928.66792,thousand megawatthours,CO,2016-11
renewable waste products,6.41743,thousand megawatthours,CO,2016-11
estimated total solar,87.2985,thousand megawatthours,CO,2016-11
estimated total solar photovoltaic,87.2985,thousand megawatthours,CO,2016-11
solar,56.13355,thousand megawatthours,CO,2016-11
solar photovoltaic,56.13355,thousand megawatthours,CO,2016-11
renewable,1005.98241,thousand megawatthours,CO,2016-11
estimated small scale solar photovoltaic,31.16495,thousand megawatthours,CO,2016-11
renewable,1003.19235,thousand megawatthours,CO,2016-10
estimated small scale solar photovoltaic,38.47065,thousand megawatthours,CO,2016-10
biomass,14.90772,thousand megawatthours,CO,2016-10
wood and wood wastes,8.851,thousand megawatthours,CO,2016-10
onshore wind turbine,788.74865,thousand megawatthours,CO,2016-10
wind,788.74865,thousand megawatthours,CO,2016-10
renewable waste products,6.05672,thousand megawatthours,CO,2016-10
estimated total solar,114.69179,thousand megawatthours,CO,2016-10
estimated total solar photovoltaic,114.69179,thousand megawatthours,CO,2016-10
solar,76.22114,thousand megawatthours,CO,2016-10
solar photovoltaic,76.22114,thousand megawatthours,CO,2016-10
biomass,13.62978,thousand megawatthours,CO,2016-09
wood and wood wastes,7.445,thousand megawatthours,CO,2016-09
onshore wind turbine,731.93661,thousand megawatthours,CO,2016-09
wind,731.93661,thousand megawatthours,CO,2016-09
renewable waste products,6.18478,thousand megawatthours,CO,2016-09
estimated total solar,119.67512,thousand megawatthours,CO,2016-09
estimated total solar photovoltaic,119.67512,thousand megawatthours,CO,2016-09
solar,77.97667,thousand megawatthours,CO,2016-09
solar photovoltaic,77.97667,thousand megawatthours,CO,2016-09
renewable,1008.72486,thousand megawatthours,CO,2016-09
estimated small scale solar photovoltaic,41.69845,thousand megawatthours,CO,2016-09
biomass,14.63813,thousand megawatthours,CO,2016-08
wood and wood wastes,8.072,thousand megawatthours,CO,2016-08
onshore wind turbine,584.27173,thousand megawatthours,CO,2016-08
wind,584.27173,thousand megawatthours,CO,2016-08
renewable waste products,6.56613,thousand megawatthours,CO,2016-08
estimated total solar,80.04832,thousand megawatthours,CO,2016-08
estimated total solar photovoltaic,80.04832,thousand megawatthours,CO,2016-08
solar,35.7247,thousand megawatthours,CO,2016-08
solar photovoltaic,35.7247,thousand megawatthours,CO,2016-08
renewable,752.00273,thousand megawatthours,CO,2016-08
estimated small scale solar photovoltaic,44.32362,thousand megawatthours,CO,2016-08
biomass,14.12621,thousand megawatthours,CO,2016-07
wood and wood wastes,7.64,thousand megawatthours,CO,2016-07
onshore wind turbine,633.05532,thousand megawatthours,CO,2016-07
wind,633.05532,thousand megawatthours,CO,2016-07
renewable waste products,6.48621,thousand megawatthours,CO,2016-07
estimated total solar,92.45378,thousand megawatthours,CO,2016-07
estimated total solar photovoltaic,92.45378,thousand megawatthours,CO,2016-07
solar,44.95931,thousand megawatthours,CO,2016-07
solar photovoltaic,44.95931,thousand megawatthours,CO,2016-07
renewable,880.57294,thousand megawatthours,CO,2016-07
estimated small scale solar photovoltaic,47.49447,thousand megawatthours,CO,2016-07
wind,555.79084,thousand megawatthours,CO,2016-06
renewable waste products,6.25398,thousand megawatthours,CO,2016-06
estimated total solar,90.65737,thousand megawatthours,CO,2016-06
estimated total solar photovoltaic,90.65737,thousand megawatthours,CO,2016-06
solar,43.03468,thousand megawatthours,CO,2016-06
solar photovoltaic,43.03468,thousand megawatthours,CO,2016-06
renewable,831.57997,thousand megawatthours,CO,2016-06
estimated small scale solar photovoltaic,47.62269,thousand megawatthours,CO,2016-06
biomass,12.17698,thousand megawatthours,CO,2016-06
wood and wood wastes,5.923,thousand megawatthours,CO,2016-06
onshore wind turbine,555.79084,thousand megawatthours,CO,2016-06
biomass,13.73552,thousand megawatthours,CO,2016-05
wood and wood wastes,7.115,thousand megawatthours,CO,2016-05
onshore wind turbine,737.67419,thousand megawatthours,CO,2016-05
wind,737.67419,thousand megawatthours,CO,2016-05
renewable waste products,6.62052,thousand megawatthours,CO,2016-05
estimated total solar,86.87392,thousand megawatthours,CO,2016-05
estimated total solar photovoltaic,86.87392,thousand megawatthours,CO,2016-05
solar,40.90803,thousand megawatthours,CO,2016-05
solar photovoltaic,40.90803,thousand megawatthours,CO,2016-05
renewable,939.83504,thousand megawatthours,CO,2016-05
estimated small scale solar photovoltaic,45.96589,thousand megawatthours,CO,2016-05
biomass,13.78375,thousand megawatthours,CO,2016-04
wind,864.21319,thousand megawatthours,CO,2016-04
renewable waste products,6.34375,thousand megawatthours,CO,2016-04
estimated total solar,73.51152,thousand megawatthours,CO,2016-04
estimated total solar photovoltaic,73.51152,thousand megawatthours,CO,2016-04
solar,32.81025,thousand megawatthours,CO,2016-04
solar photovoltaic,32.81025,thousand megawatthours,CO,2016-04
renewable,1025.67161,thousand megawatthours,CO,2016-04
estimated small scale solar photovoltaic,40.70127,thousand megawatthours,CO,2016-04
wood and wood wastes,7.44,thousand megawatthours,CO,2016-04
onshore wind turbine,864.21319,thousand megawatthours,CO,2016-04
renewable,1209.83323,thousand megawatthours,CO,2016-03
estimated small scale solar photovoltaic,37.48843,thousand megawatthours,CO,2016-03
biomass,14.4045,thousand megawatthours,CO,2016-03
wood and wood wastes,8.04,thousand megawatthours,CO,2016-03
onshore wind turbine,940.56797,thousand megawatthours,CO,2016-03
wind,940.56797,thousand megawatthours,CO,2016-03
renewable waste products,6.3645,thousand megawatthours,CO,2016-03
estimated total solar,70.51934,thousand megawatthours,CO,2016-03
estimated total solar photovoltaic,70.51934,thousand megawatthours,CO,2016-03
solar,33.03091,thousand megawatthours,CO,2016-03
solar photovoltaic,33.03091,thousand megawatthours,CO,2016-03
biomass,10.77916,thousand megawatthours,CO,2016-02
wood and wood wastes,4.745,thousand megawatthours,CO,2016-02
onshore wind turbine,1001.0701,thousand megawatthours,CO,2016-02
wind,1001.0701,thousand megawatthours,CO,2016-02
renewable waste products,6.03416,thousand megawatthours,CO,2016-02
estimated total solar,56.90632,thousand megawatthours,CO,2016-02
estimated total solar photovoltaic,56.90632,thousand megawatthours,CO,2016-02
solar,26.93053,thousand megawatthours,CO,2016-02
solar photovoltaic,26.93053,thousand megawatthours,CO,2016-02
renewable,1249.74301,thousand megawatthours,CO,2016-02
estimated small scale solar photovoltaic,29.97579,thousand megawatthours,CO,2016-02
biomass,9.51722,thousand megawatthours,CO,2016-01
wood and wood wastes,3.086,thousand megawatthours,CO,2016-01
onshore wind turbine,781.65457,thousand megawatthours,CO,2016-01
wind,781.65457,thousand megawatthours,CO,2016-01
renewable waste products,6.43122,thousand megawatthours,CO,2016-01
estimated total solar,46.5041,thousand megawatthours,CO,2016-01
estimated total solar photovoltaic,46.5041,thousand megawatthours,CO,2016-01
solar,18.57973,thousand megawatthours,CO,2016-01
solar photovoltaic,18.57973,thousand megawatthours,CO,2016-01
renewable,1032.12656,thousand megawatthours,CO,2016-01
estimated small scale solar photovoltaic,27.92437,thousand megawatthours,CO,2016-01
renewable,1087.05149,thousand megawatthours,CO,2015-12
estimated small scale solar photovoltaic,24.29356,thousand megawatthours,CO,2015-12
biomass,7.96689,thousand megawatthours,CO,2015-12
wood and wood wastes,0.804,thousand megawatthours,CO,2015-12
