Fuel Type,Energy Generation,Energy Units,Location,Period
solar,252.49729,thousand megawatthours,CO,2022-05
solar photovoltaic,252.49729,thousand megawatthours,CO,2022-05
renewable,1989.44119,thousand megawatthours,CO,2022-05
estimated small scale solar photovoltaic,131.45626,thousand megawatthours,CO,2022-05
biomass,11.77989,thousand megawatthours,CO,2022-05
wood and wood wastes,4.926,thousand megawatthours,CO,2022-05
solar photovoltaic,239.04918,thousand megawatthours,CO,2022-04
biomass,14.6278,thousand megawatthours,CO,2022-04
estimated small scale solar photovoltaic,122.96498,thousand megawatthours,CO,2022-04
renewable,2150.72362,thousand megawatthours,CO,2022-04
wood and wood wastes,8.172,thousand megawatthours,CO,2022-04
onshore wind turbine,1793.95794,thousand megawatthours,CO,2022-04
wind,1793.95794,thousand megawatthours,CO,2022-04
renewable waste products,6.4558,thousand megawatthours,CO,2022-04
estimated total solar,362.01416,thousand megawatthours,CO,2022-04
estimated total solar photovoltaic,362.01416,thousand megawatthours,CO,2022-04
solar,239.04918,thousand megawatthours,CO,2022-04
wind,1566.86751,thousand megawatthours,CO,2022-03
wood and wood wastes,8.459,thousand megawatthours,CO,2022-03
estimated small scale solar photovoltaic,109.38773,thousand megawatthours,CO,2022-03
biomass,15.07859,thousand megawatthours,CO,2022-03
renewable waste products,6.61959,thousand megawatthours,CO,2022-03
estimated total solar,312.11451,thousand megawatthours,CO,2022-03
estimated total solar photovoltaic,312.11451,thousand megawatthours,CO,2022-03
solar,202.72678,thousand megawatthours,CO,2022-03
solar photovoltaic,202.72678,thousand megawatthours,CO,2022-03
renewable,1943.585,thousand megawatthours,CO,2022-03
onshore wind turbine,1566.86751,thousand megawatthours,CO,2022-03
estimated small scale solar photovoltaic,82.28883,thousand megawatthours,CO,2022-02
solar,164.71026,thousand megawatthours,CO,2022-02
solar photovoltaic,164.71026,thousand megawatthours,CO,2022-02
renewable,1635.03544,thousand megawatthours,CO,2022-02
wood and wood wastes,7.595,thousand megawatthours,CO,2022-02
onshore wind turbine,1309.58094,thousand megawatthours,CO,2022-02
wind,1309.58094,thousand megawatthours,CO,2022-02
renewable waste products,6.27996,thousand megawatthours,CO,2022-02
estimated total solar,246.99909,thousand megawatthours,CO,2022-02
estimated total solar photovoltaic,246.99909,thousand megawatthours,CO,2022-02
biomass,13.87496,thousand megawatthours,CO,2022-02
renewable,1740.17729,thousand megawatthours,CO,2022-01
wood and wood wastes,8.223,thousand megawatthours,CO,2022-01
onshore wind turbine,1418.03251,thousand megawatthours,CO,2022-01
estimated small scale solar photovoltaic,79.77616,thousand megawatthours,CO,2022-01
biomass,14.81279,thousand megawatthours,CO,2022-01
wind,1418.03251,thousand megawatthours,CO,2022-01
renewable waste products,6.58979,thousand megawatthours,CO,2022-01
estimated total solar,215.17845,thousand megawatthours,CO,2022-01
estimated total solar photovoltaic,215.17845,thousand megawatthours,CO,2022-01
solar,135.40229,thousand megawatthours,CO,2022-01
solar photovoltaic,135.40229,thousand megawatthours,CO,2022-01
biomass,14.90101,thousand megawatthours,CO,2021-12
wood and wood wastes,8.459,thousand megawatthours,CO,2021-12
onshore wind turbine,1712.73188,thousand megawatthours,CO,2021-12
wind,1712.73188,thousand megawatthours,CO,2021-12
renewable waste products,6.44201,thousand megawatthours,CO,2021-12
estimated total solar,197.50329,thousand megawatthours,CO,2021-12
estimated total solar photovoltaic,197.50329,thousand megawatthours,CO,2021-12
solar,119.89851,thousand megawatthours,CO,2021-12
solar photovoltaic,119.89851,thousand megawatthours,CO,2021-12
renewable,1950.08368,thousand megawatthours,CO,2021-12
estimated small scale solar photovoltaic,77.60478,thousand megawatthours,CO,2021-12
wood and wood wastes,8.24,thousand megawatthours,CO,2021-11
estimated small scale solar photovoltaic,83.75826,thousand megawatthours,CO,2021-11
biomass,14.39744,thousand megawatthours,CO,2021-11
renewable,1588.49198,thousand megawatthours,CO,2021-11
onshore wind turbine,1357.18755,thousand megawatthours,CO,2021-11
wind,1357.18755,thousand megawatthours,CO,2021-11
renewable waste products,6.15744,thousand megawatthours,CO,2021-11
estimated total solar,215.80937,thousand megawatthours,CO,2021-11
estimated total solar photovoltaic,215.80937,thousand megawatthours,CO,2021-11
solar,132.05111,thousand megawatthours,CO,2021-11
solar photovoltaic,132.05111,thousand megawatthours,CO,2021-11
biomass,14.19124,thousand megawatthours,CO,2021-10
wood and wood wastes,8.107,thousand megawatthours,CO,2021-10
onshore wind turbine,1309.11523,thousand megawatthours,CO,2021-10
wind,1309.11523,thousand megawatthours,CO,2021-10
renewable waste products,6.08424,thousand megawatthours,CO,2021-10
estimated total solar,229.17282,thousand megawatthours,CO,2021-10
estimated total solar photovoltaic,229.17282,thousand megawatthours,CO,2021-10
solar,133.22426,thousand megawatthours,CO,2021-10
solar photovoltaic,133.22426,thousand megawatthours,CO,2021-10
renewable,1552.39373,thousand megawatthours,CO,2021-10
estimated small scale solar photovoltaic,95.94856,thousand megawatthours,CO,2021-10
biomass,11.50627,thousand megawatthours,CO,2021-09
wood and wood wastes,5.579,thousand megawatthours,CO,2021-09
onshore wind turbine,1153.81955,thousand megawatthours,CO,2021-09
wind,1153.81955,thousand megawatthours,CO,2021-09
renewable waste products,5.92727,thousand megawatthours,CO,2021-09
estimated total solar,278.90058,thousand megawatthours,CO,2021-09
estimated total solar photovoltaic,278.90058,thousand megawatthours,CO,2021-09
solar,170.78006,thousand megawatthours,CO,2021-09
solar photovoltaic,170.78006,thousand megawatthours,CO,2021-09
renewable,1453.52384,thousand megawatthours,CO,2021-09
estimated small scale solar photovoltaic,108.12052,thousand megawatthours,CO,2021-09
biomass,14.22337,thousand megawatthours,CO,2021-08
wood and wood wastes,8.404,thousand megawatthours,CO,2021-08
onshore wind turbine,1201.72477,thousand megawatthours,CO,2021-08
wind,1201.72477,thousand megawatthours,CO,2021-08
renewable waste products,5.81937,thousand megawatthours,CO,2021-08
estimated total solar,312.69802,thousand megawatthours,CO,2021-08
estimated total solar photovoltaic,312.69802,thousand megawatthours,CO,2021-08
solar,197.23192,thousand megawatthours,CO,2021-08
solar photovoltaic,197.23192,thousand megawatthours,CO,2021-08
renewable,1557.30152,thousand megawatthours,CO,2021-08
estimated small scale solar photovoltaic,115.4661,thousand megawatthours,CO,2021-08
biomass,13.92244,thousand megawatthours,CO,2021-07
wood and wood wastes,8.167,thousand megawatthours,CO,2021-07
onshore wind turbine,1132.38929,thousand megawatthours,CO,2021-07
wind,1132.38929,thousand megawatthours,CO,2021-07
renewable waste products,5.75544,thousand megawatthours,CO,2021-07
estimated total solar,322.68515,thousand megawatthours,CO,2021-07
estimated total solar photovoltaic,322.68515,thousand megawatthours,CO,2021-07
solar,206.27118,thousand megawatthours,CO,2021-07
solar photovoltaic,206.27118,thousand megawatthours,CO,2021-07
renewable,1507.70999,thousand megawatthours,CO,2021-07
estimated small scale solar photovoltaic,116.41397,thousand megawatthours,CO,2021-07
solar,193.27544,thousand megawatthours,CO,2021-06
solar photovoltaic,193.27544,thousand megawatthours,CO,2021-06
renewable,1454.56153,thousand megawatthours,CO,2021-06
estimated small scale solar photovoltaic,116.29504,thousand megawatthours,CO,2021-06
biomass,13.9774,thousand megawatthours,CO,2021-06
wood and wood wastes,8.236,thousand megawatthours,CO,2021-06
onshore wind turbine,1093.58653,thousand megawatthours,CO,2021-06
wind,1093.58653,thousand megawatthours,CO,2021-06
renewable waste products,5.7414,thousand megawatthours,CO,2021-06
estimated total solar,309.57048,thousand megawatthours,CO,2021-06
estimated total solar photovoltaic,309.57048,thousand megawatthours,CO,2021-06
biomass,14.52941,thousand megawatthours,CO,2021-05
wood and wood wastes,8.023,thousand megawatthours,CO,2021-05
onshore wind turbine,1236.36645,thousand megawatthours,CO,2021-05
wind,1236.36645,thousand megawatthours,CO,2021-05
renewable waste products,6.50641,thousand megawatthours,CO,2021-05
estimated total solar,238.8899,thousand megawatthours,CO,2021-05
estimated total solar photovoltaic,238.8899,thousand megawatthours,CO,2021-05
solar,153.1055,thousand megawatthours,CO,2021-05
solar photovoltaic,153.1055,thousand megawatthours,CO,2021-05
renewable,1565.14876,thousand megawatthours,CO,2021-05
estimated small scale solar photovoltaic,85.7844,thousand megawatthours,CO,2021-05
solar photovoltaic,143.68101,thousand megawatthours,CO,2021-04
renewable,1646.41148,thousand megawatthours,CO,2021-04
estimated small scale solar photovoltaic,79.12586,thousand megawatthours,CO,2021-04
biomass,14.59195,thousand megawatthours,CO,2021-04
wood and wood wastes,8.256,thousand megawatthours,CO,2021-04
onshore wind turbine,1332.05443,thousand megawatthours,CO,2021-04
wind,1332.05443,thousand megawatthours,CO,2021-04
renewable waste products,6.33595,thousand megawatthours,CO,2021-04
estimated total solar,222.80687,thousand megawatthours,CO,2021-04
estimated total solar photovoltaic,222.80687,thousand megawatthours,CO,2021-04
solar,143.68101,thousand megawatthours,CO,2021-04
onshore wind turbine,1372.94304,thousand megawatthours,CO,2021-03
biomass,14.63422,thousand megawatthours,CO,2021-03
wind,1372.94304,thousand megawatthours,CO,2021-03
renewable waste products,6.77322,thousand megawatthours,CO,2021-03
estimated total solar,185.90295,thousand megawatthours,CO,2021-03
estimated total solar photovoltaic,185.90295,thousand megawatthours,CO,2021-03
solar,114.62253,thousand megawatthours,CO,2021-03
solar photovoltaic,114.62253,thousand megawatthours,CO,2021-03
renewable,1660.22678,thousand megawatthours,CO,2021-03
estimated small scale solar photovoltaic,71.28042,thousand megawatthours,CO,2021-03
wood and wood wastes,7.861,thousand megawatthours,CO,2021-03
estimated small scale solar photovoltaic,53.8303,thousand megawatthours,CO,2021-02
biomass,13.74354,thousand megawatthours,CO,2021-02
wood and wood wastes,7.68,thousand megawatthours,CO,2021-02
onshore wind turbine,893.232,thousand megawatthours,CO,2021-02
wind,893.232,thousand megawatthours,CO,2021-02
renewable waste products,6.06354,thousand megawatthours,CO,2021-02
estimated total solar,141.08282,thousand megawatthours,CO,2021-02
estimated total solar photovoltaic,141.08282,thousand megawatthours,CO,2021-02
solar,87.25252,thousand megawatthours,CO,2021-02
solar photovoltaic,87.25252,thousand megawatthours,CO,2021-02
renewable,1121.16736,thousand megawatthours,CO,2021-02
biomass,14.46414,thousand megawatthours,CO,2021-01
wood and wood wastes,7.839,thousand megawatthours,CO,2021-01
onshore wind turbine,1330.54629,thousand megawatthours,CO,2021-01
wind,1330.54629,thousand megawatthours,CO,2021-01
renewable waste products,6.62514,thousand megawatthours,CO,2021-01
estimated total solar,131.08897,thousand megawatthours,CO,2021-01
