Fuel Type,Amount Generated,Units Measured,Period
natural gas,12679.43938,thousand megawatthours,2016
natural gas,12532.24249,thousand megawatthours,2017
natural gas,16398.43941,thousand megawatthours,2018
natural gas,17097.11593,thousand megawatthours,2019
natural gas,18171.33776,thousand megawatthours,2020
natural gas,14559.77311,thousand megawatthours,2021
natural gas,15612.43366,thousand megawatthours,2022
