Period,Energy Type,Use,Unit
2016,conventional hydroelectric,1902.571,thousand megawatthours
2017,conventional hydroelectric,1897.228,thousand megawatthours
2018,conventional hydroelectric,1825.385,thousand megawatthours
2019,conventional hydroelectric,1811.001,thousand megawatthours
2020,conventional hydroelectric,1668.561,thousand megawatthours
2021,conventional hydroelectric,1598.31,thousand megawatthours
